OBJECT;Simbad_ID;RA;DEC;Program_ID;Observation_Date;Coronography;Filter;Average_DIMM
V RZ PSC;RZ PSC;01:09:42.02;+27:56:59.8;0101.C-0635(A;2018-10-01;Coronography;B_H;0.79
V RZ PSC;RZ PSC;01:09:42.02;+27:56:59.8;0103.C-0384(A;2019-08-16;-;B_H;0.42
V RZ PSC;RZ PSC;01:09:42.02;+27:56:59.8;0103.C-0384(A;2019-08-17;-;B_KS;0.57
V RZ PSC;RZ PSC;01:09:42.02;+27:56:59.8;0103.C-0384(A;2019-08-17;Coronography;B_KS;0.57
V RZ PSC;RZ PSC;01:09:42.02;+27:56:59.8;0103.C-0384(A;2019-08-19;Coronography;B_KS;0.5
V RZ PSC;RZ PSC;01:09:42.02;+27:56:59.8;0103.C-0384(A;2019-08-21;Coronography;B_KS;0.29
V RZ PSC;RZ PSC;01:09:42.02;+27:56:59.8;0103.C-0384(A;2019-08-23;Coronography;B_KS;0.72
MIRA;MIRA;02:19:20.78;-02:58:42.3;097.D-0516(B);2016-07-21;Coronography;N_CNTH;0.42
V BX ARI;BX ARI;02:58:11.19;+20:30:01.6;0101.C-0060(A;2018-10-01;Coronography;B_H;0.79
LKHA_330;LKHA_330;03:45:48.01;+32:24:09.9;098.C-0760(B);2017-10-06;Coronography;B_J;0.55
LKHA_330;LKHA_330;03:45:48.01;+32:24:09.9;0100.C-0452(A;2017-10-07;Coronography;B_H;0.75
LKHA_330;LKHA_330;03:45:48.01;+32:24:09.9;0100.C-0452(A;2017-10-12;Coronography;B_H;0.71
LKHA_330;LKHA_330;03:45:48.01;+32:24:09.9;098.C-0760(B);2017-12-06;-;B_H;0.84
LKHA_330;LKHA_330;03:45:48.01;+32:24:09.9;106.21HJ.001;2020-12-08;Coronography;B_KS,P0-90;0.47
V CW TAU;CW TAU;04:14:16.92;+28:10:53.4;0102.C-0453(A;2018-12-23;Coronography;B_H;0.61
V CW TAU;CW TAU;04:14:16.92;+28:10:53.4;0102.C-0453(A;2018-12-23;-;B_H;0.61
V CW TAU;CW TAU;04:14:16.92;+28:10:53.4;0102.C-0453(A;2019-10-23;Coronography;B_H;0.89
V CW TAU;CW TAU;04:14:16.92;+28:10:53.4;0102.C-0453(A;2019-10-23;-;B_H;0.89
V CW TAU;CW TAU;04:14:16.92;+28:10:53.4;0102.C-0453(A;2019-11-02;-;B_H;0.73
V CW TAU;CW TAU;04:14:16.92;+28:10:53.4;0102.C-0453(A;2019-11-02;Coronography;B_H;0.73
V FP TAU;FP TAU;04:14:47.05;+26:46:26.9;0102.C-0453(A;2019-08-29;Coronography;B_H;0.72
V FP TAU;FP TAU;04:14:47.05;+26:46:26.9;0102.C-0453(A;2019-10-24;-;B_H;0.33
V FP TAU;FP TAU;04:14:47.05;+26:46:26.9;0102.C-0453(A;2019-10-24;Coronography;B_H;0.33
V CX TAU;CX TAU;04:14:47.05;+26:48:11.2;0102.C-0453(A;2019-08-07;Coronography;B_H;0.54
V CX TAU;CX TAU;04:14:47.05;+26:48:11.2;0102.C-0453(A;2019-08-07;-;B_H;0.54
V CX TAU;CX TAU;04:14:47.05;+26:48:11.2;0102.C-0453(A;2019-10-24;-;B_H;0.33
V CX TAU;CX TAU;04:14:47.05;+26:48:11.2;0102.C-0453(A;2019-10-24;Coronography;B_H;0.33
V409 TAU;V409 TAU;04:18:10.91;+25:19:56.2;1104.C-0415(A;2019-11-17;Coronography;B_H;0.82
V409 TAU;V409 TAU;04:18:10.91;+25:19:56.2;0104.C-0850(A;2019-11-24;Coronography;B_H;0.88
V BP TAU;BP TAU;04:19:15.72;+29:06:27.4;0102.C-0453(A;2018-12-23;Coronography;B_H;0.61
V BP TAU;BP TAU;04:19:15.72;+29:06:27.4;0102.C-0453(A;2018-12-23;-;B_H;0.61
V DE TAU;DE TAU;04:21:55.53;+27:55:05.6;0102.C-0453(A;2019-10-22;Coronography;B_H;0.49
V DE TAU;DE TAU;04:21:55.53;+27:55:05.6;0102.C-0453(A;2019-10-22;-;B_H;0.49
V RY TAU;RY TAU;04:21:57.68;+28:26:39.3;1104.C-0415(E;2019-12-17;Coronography;B_H;0.77
T TAU N;T TAU N;04:21:59.20;+19:32:04.0;198.C-0209(N);2016-11-19;Coronography;B_H;0.66
V IP TAU;IP TAU;04:24:56.73;+27:11:57.2;0104.C-0850(A;2019-11-24;Coronography;B_H;0.88
V IP TAU;IP TAU;04:24:56.73;+27:11:57.2;1104.C-0415(A;2019-12-15;Coronography;B_H;0.58
V DF TAU;DF TAU;04:27:02.59;+25:42:23.5;0102.C-0466(B;2018-11-29;-;B_H;0.93
DH TAU;DH TAU;04:29:41.30;+26:33:00.1;0102.C-0916(A;2019-08-17;Coronography;B_H;0.57
DH TAU;DH TAU;04:29:41.30;+26:33:00.1;0102.C-0916(A;2019-09-16;Coronography;B_H;1.04
DH TAU;DH TAU;04:29:41.30;+26:33:00.1;0102.C-0916(A;2019-10-24;Coronography;B_H;0.33
DH TAU;DH TAU;04:29:41.30;+26:33:00.1;0102.C-0916(A;2019-10-25;Coronography;B_H;0.58
DH TAU;DH TAU;04:29:41.30;+26:33:00.1;0102.C-0916(A;2019-10-30;Coronography;B_KS;0.72
V IQ TAU;IQ TAU;04:29:51.41;+26:06:44.2;0102.C-0453(A;2018-12-19;Coronography;B_H;0.67
V IQ TAU;IQ TAU;04:29:51.41;+26:06:44.2;0102.C-0453(A;2018-12-19;-;B_H;0.67
HIP 20990 - UX TAU;V* UX Tau B;04:30:03.61;+18:13:47.9;096.C-0248(A);2015-12-18;Coronography;B_J;1.53
HIP 20990 - UX TAU;V* UX Tau B;04:30:03.61;+18:13:47.9;0100.C-0452(B;2017-10-06;Coronography;B_H;0.55
HIP 20990 - UX TAU;V* UX Tau B;04:30:03.61;+18:13:47.9;0100.C-0452(B;2017-10-12;Coronography;B_H;0.71
V DK TAU;DK TAU;04:30:43.94;+26:01:23.3;0102.C-0453(A;2019-09-02;-;B_H;1.18
V DK TAU;DK TAU;04:30:43.94;+26:01:23.3;0102.C-0453(A;2019-09-02;Coronography;B_H;1.18
V DK TAU;DK TAU;04:30:43.94;+26:01:23.3;0102.C-0453(A;2019-09-29;Coronography;B_H;0.7
V DK TAU;DK TAU;04:30:43.94;+26:01:23.3;0102.C-0453(A;2019-10-22;Coronography;B_H;0.49
V DK TAU;DK TAU;04:30:43.94;+26:01:23.3;0102.C-0453(A;2019-10-22;-;B_H;0.49
XZ TAU;XZ TAU;04:31:40.10;+18:13:58.7;0100.C-0408(A;2017-10-13;Coronography;B_H;0.43
XZ TAU;XZ TAU;04:31:40.10;+18:13:58.7;0100.C-0408(A;2017-10-13;Coronography;B_KS;0.43
